"sample.expression","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"e7e57ae9-4bf0-4695-9792-8232614c11f5",0.049264266277535,0,0.018981459130344,0,0,0.367960658412648,0.0643637164950111,0,0,0,0.0801491834200723,0,0.00552189454066931,0.083577391907856,0.0204725594083843,0.241200028100012,0.0583817465101134,0,0,0.0101270957973547,0,0
"86a27454-0b76-446f-87df-2278174b4078",0.0764738692227632,0,0.0130528543732183,0.0525017626911128,0,0.148094233410425,0.0200169142387487,0.0301788018961674,0.0516206490220513,0,0.0460275039217665,0,0,0.155915016087744,0.141001495113268,0.18298261198187,0.0556526608302338,0,0.00698430775483522,0,0,0.0194973194557956
"7d941107-78d0-4d60-9e0f-616cd9291595",0.0779220719455881,0,0.0219788351039457,0,0,0.195167576644936,0.00939124361803373,0,0.0095095971094875,0,0.03499283495252,0,0.015737776789833,0.414637455295822,0.0567992705468218,0.131911637498762,0,0,0.0319517004942499,0,0,0
"433c63e2-c6a4-4f42-a0e6-12bbba4902e9",0.0469483013682413,0,0,0.107422445505181,0,0.257137452017744,0,0.00044960609827213,0.0556016201469203,0,0.0536792368498905,0.0214121115654075,0.0149177300539924,0.148839451236781,0.111021318763151,0.142288149899831,0,0,0.0402825764945886,0,0,0
"9aefde5e-f012-47fc-8b5c-a41356bcfe8c",0.0424854987249142,0,0,0.078951491316913,0,0.243599045733165,0.045210508679208,0.0409149424423142,0,0,0.0443279991740966,0.0129478245970769,0.0161425502071379,0.115033755026784,0.155906507506756,0.178446595722827,0.00325794707072668,0,0,0.0227753337980803,0,0
"7af900ab-0a1a-471e-89a2-f887e2dcf433",0.0701004387549567,0,0.0188685083431993,0,0,0.375294443188445,0,0,0,0,0.0533012596866671,0,0.0646372497034792,0.159341701908337,0.0541863942795264,0.133441355443685,0.00142772222740203,0,0,0.0694009264643027,0,0
"19adb707-4386-498f-81b3-8eeeddf27dbb",0.0696293499649223,0,0.0127415979106336,0.157802921664678,0,0.343718898140161,0,0.0190639596865109,0.044660470071675,0,0,0,0,0.207167103821047,0.0140358055503153,0.0285482104519437,0,0,0,0.102631682738113,0,0
"1f6efd19-db75-41ee-9a2e-4b1b9b0aa0d5",0.0753306806527536,0,0.020563935240924,0.146779662795022,0,0.266423173424872,0.0397167798884668,0.0558681942868836,0.0614975537783907,0,0.0127833305751843,0.0146953288910895,0.015102687986085,0.140264456755714,0.0526125581583034,0.0756897002940582,0.0103420020435548,0.00610832349819628,0.00622163173050124,0,0,0
"095182ee-10fd-4f46-9820-c81c718306ff",0.0662327329848393,0,0.0143290640914123,0.0679990921498775,0,0.233437842763594,0,0.0333043366089787,0.0211643790771517,0,0.0643811612681986,0,0.0205103805322256,0.221693350175041,0.138833975268601,0.101239183693463,0,0,0.0168745013866176,0,0,0
"9c1d5bca-13ae-4491-871c-1c333b7baf5b",0.0752585182542648,0,0.0333363717552721,0,0,0.432710659796772,0,0.00596954002054766,0,0,0.081364438558437,0,0.023010197274769,0.0970822706101088,0.0355020849721453,0.0756843085527622,0,0.0233708002435692,0,0.0676972748376067,0.0200002110794641,0.0290133240442809
