"Taxa","log2FoldChange","y.axis","baseMean","lfcSE","stat","pvalue","padj","Taxa.Level"
"o__Enterobacterales",2.00244658125314,5.79847682655608,40.9557336776094,0.420833793752687,4.75828370007263,1.95245959446112e-06,0.00303216975019811,"order"
"c__Betaproteobacteria",1.01480673756703,2.83134722622288,107.671691401587,0.262970311011516,3.85901637969541,0.000113844308183193,0.0589334035361661,"class"
"o__Burkholderiales",1.05124872570749,2.83134722622288,103.738289873492,0.267857156332422,3.92466171186724,8.68517004301849e-05,0.0589334035361661,"order"
"g__Phocaeicola",1.94229382065801,2.80662409132849,130.272223825569,0.513566659678868,3.78197023512493,0.000155591970136636,0.0604085824055489,"genus"
"f__Lactobacillaceae",-1.84053362766014,1.58339787338233,1.84545329007138,0.540490152076109,-3.40530464910481,0.000660902796532196,0.2052764086029,"family"
"o__Actinomycetales",-1.85377603354009,0.446743350577102,2.85318321577314,0.617530675133096,-3.00191732684461,0.00268285025250296,0.639708067914615,"order"
"f__Actinomycetaceae",-1.85391142600875,0.446743350577102,2.85318321577314,0.622138769662916,-2.97990017084649,0.00288342335827579,0.639708067914615,"family"
"k__unclassified-p__Spirochaetes",1.47258888020152,0.192428817687539,5.09718881647677,0.529382638201564,2.78170981429283,0.00540733654577289,0.824953038178596,"kingdom"
"p__Spirochaetes",1.47257860647193,0.192428817687539,5.09718881647677,0.529175214774077,2.78278076024521,0.00538952116531682,0.824953038178596,"phylum"
"c__Spirochaetia",1.47259631392051,0.192428817687539,5.09718881647677,0.529532871520661,2.78093465603306,0.00542026459542909,0.824953038178596,"class"
"o__Spirochaetales",1.69915081989987,0.192428817687539,4.81069985494701,0.639427231428005,2.65730131027612,0.00787690066743658,0.824953038178596,"order"
"f__Enterobacteriaceae",1.55079297194799,0.192428817687539,34.1179030826116,0.568784991513522,2.72650121765937,0.00640097164366646,0.824953038178596,"family"
"f__unclassified-g__Gemella",1.88498954110297,0.192428817687539,6.18886643132313,0.709341217963127,2.65738052909955,0.00787504973004801,0.824953038178596,"family"
"g__Escherichia",1.72328002422449,0.192428817687539,29.2737006846216,0.652806973744348,2.63980026797226,0.00829549006557726,0.824953038178596,"genus"
"g__Gemella",1.88498966834232,0.192428817687539,6.18886643132313,0.716299146510572,2.63156765930127,0.0084991942117563,0.824953038178596,"genus"
"g__Staphylococcus",-1.50903053437138,0.192428817687539,1.21085870646078,0.552592299469877,-2.73082078020097,0.00631768171416934,0.824953038178596,"genus"
"c__Saccharomycetes",-0.591927704229334,0.00518201592987274,135.18610635422,0.235912299102119,-2.50910065512568,0.012103898895905,0.994831387552329,"class"
"o__Saccharomycetales",-0.591928221688978,0.00518201592987274,135.18610635422,0.236096724692828,-2.50714287739104,0.0121711502662551,0.994831387552329,"order"
"f__Leptotrichiaceae",-2.20605783504515,0.00518201592987274,65.7281639838334,0.875534311936712,-2.51967033726556,0.0117464790191775,0.994831387552329,"family"
"d__Archaea",0.104394484381066,0,5.72024229240271,0.326034512066886,0.320194582221558,0.748820829942864,1,"domain"
"d__Bacteria",-0.480196833175353,0,3261.16123246284,0.257424920443386,-1.86538596320926,0.0621273234594713,1,"domain"
"d__Eukaryota",5.92628579227952e-15,0,316549724.063927,1.77065764623235e-05,3.34694050252438e-10,0.999999999732953,1,"domain"
"d__Viruses",-0.298506517108888,0,4564.78479906032,0.223830532195516,-1.33362733931286,0.182326018467942,1,"domain"
"k__Bamfordvirae",0.14554333447264,0,0.0777294347095704,1.23338340419082,0.11800331833403,0.906065028605245,1,"kingdom"
"k__Fungi",-0.413888084436925,0,250.347546893944,0.224794635703639,-1.84118310092853,0.0655947309446025,1,"kingdom"
"k__Heunggongvirae",-0.295161775558463,0,4557.16059592058,0.226071624102585,-1.30561178002829,0.191684612275207,1,"kingdom"
"k__Metazoa",5.92628646291992e-15,0,316549437.220931,1.77065784660651e-05,3.34694050252437e-10,0.999999999732953,1,"kingdom"
"k__Orthornavirae",-0.155630519625884,0,0.0788130546306396,1.32934388898146,-0.117073182429212,0.906802060893295,1,"kingdom"
"k__Pararnavirae",0.241306234487962,0,0.537552935491425,1.09251068831387,0.220873110962771,0.825191234711504,1,"kingdom"
"k__Shotokuvirae",0.307582346349792,0,0.108481945559377,0.956367946278311,0.321615072469486,0.747744323874553,1,"kingdom"
"k__unclassified-c__Candidatus",0.083729532330218,0,0.0317149906974744,2.12865988404792,0.0393343873099143,0.968623790712586,1,"kingdom"
"k__unclassified-c__Naldaviricetes",-0.103460035914178,0,0.801536533237224,0.288819785907692,-0.358216579896103,0.720181240461613,1,"kingdom"
"k__unclassified-g__Pandoravirus",0.165594133337125,0,0.150634955756071,0.825619692096903,0.2005695054542,0.841035204616698,1,"kingdom"
"k__unclassified-p__Acidobacteria",-0.191396610587379,0,0.241498663216974,0.656039348484131,-0.291745626279318,0.770481121274416,1,"kingdom"
"k__unclassified-p__Actinobacteria",0.124201490147695,0,68.2641521566957,0.250606616967959,0.495603394875942,0.620174257131416,1,"kingdom"
"k__unclassified-p__Apicomplexa",-0.400578395104387,0,33.4715806847071,0.258825855036182,-1.54767534738131,0.12170048040534,1,"kingdom"
"k__unclassified-p__Aquificae",-0.0759203975384425,0,0.0473121829650872,2.35948727098332,-0.0321766506105381,0.974331176649008,1,"kingdom"
"k__unclassified-p__Armatimonadetes",0.153040834630468,0,0.0332739231364084,2.86414973519688,0.0534332520223312,0.957386711763516,1,"kingdom"
"k__unclassified-p__Bacteroidetes",0.533380034150366,0,575.766707655494,0.352083776075807,1.5149236357756,0.129791743977536,1,"kingdom"
"k__unclassified-p__Candidatus",0.222309106987987,0,0.123444072754813,1.05705632387714,0.210309613562111,0.833426032539056,1,"kingdom"
"k__unclassified-p__Chlamydiae",-0.280938300799717,0,0.333656009513586,0.478771498033916,-0.586789944583993,0.557344790957757,1,"kingdom"
"k__unclassified-p__Chlorobi",-0.110440550639032,0,0.130238543032381,1.42824490785011,-0.077326059439816,0.938364160532644,1,"kingdom"
"k__unclassified-p__Chloroflexi",0.536355166864092,0,11.7326263278657,0.492672406965165,1.08866492070869,0.276301676487333,1,"kingdom"
"k__unclassified-p__Chrysiogenetes",0.0364948033933309,0,0.00414246965235482,3.27649429891405,0.0111383692641939,0.991113050889286,1,"kingdom"
"k__unclassified-p__Coprothermobacterota",0.105812739859542,0,0.0172805117154062,3.27649429891405,0.0322944983895171,0.974237196567245,1,"kingdom"
"k__unclassified-p__Crenarchaeota",0.0810956709641399,0,0.346136950189544,0.398523857207511,0.203490128627138,0.838751960495448,1,"kingdom"
"k__unclassified-p__Cyanobacteria",0.648715381802231,0,2.51848890716966,0.363025392388414,1.7869697145266,0.0739423835950148,1,"kingdom"
"k__unclassified-p__Deferribacteres",0.06248902956816,0,0.0121023336753078,3.27649429891405,0.0190719176861901,0.984783733794696,1,"kingdom"
"k__unclassified-p__Deinococcus",1.13192693675028,0,0.481095366563861,0.662295430662779,1.70909670268678,0.0874330382705733,1,"kingdom"
"k__unclassified-p__Elusimicrobia",0.0278300613350545,0,0.00195625638263128,3.27649429891405,0.00849385312352853,0.99322296721989,1,"kingdom"
"k__unclassified-p__Euryarchaeota",-0.237234178143024,0,1.25638931514209,0.56907850091242,-0.416874258582356,0.676770382817589,1,"kingdom"
"k__unclassified-p__Fibrobacteres",0.0817682704033487,0,0.0197014789227259,3.27649429891405,0.0249560240133638,0.980090040426365,1,"kingdom"
"k__unclassified-p__Firmicutes",-0.720623617525914,0,353.24232108548,0.314175513845158,-2.29369758548744,0.0218078755437451,1,"kingdom"
"k__unclassified-p__Fusobacteria",-0.174742552401379,0,757.127300736757,0.578148797879931,-0.302244946356645,0.76246534319039,1,"kingdom"
"k__unclassified-p__Gemmatimonadetes",-0.274990233201642,0,0.0661796209925897,1.81508833707051,-0.151502396652202,0.879579420405647,1,"kingdom"
"k__unclassified-p__Ignavibacteriae",0.211750106520574,0,0.0577422653965887,2.32015397738045,0.0912655403843711,0.92728159847279,1,"kingdom"
"k__unclassified-p__Nitrospirae",0.0163498473744099,0,0.0173283774906539,3.27649429891405,0.0049900429797265,0.996018538272157,1,"kingdom"
"k__unclassified-p__Planctomycetes",-0.0943379058745923,0,1.731680104447,0.277591082224557,-0.33984487224369,0.733973353738511,1,"kingdom"
"k__unclassified-p__Proteobacteria",0.337652973488812,0,1157.78183408684,0.250310985903219,1.34893389625082,0.177358199550075,1,"kingdom"
"k__unclassified-p__Synergistetes",0.00794389389467237,0,2.1803356359868,1.23551237832867,0.00642963521370657,0.994869928677784,1,"kingdom"
"k__unclassified-p__Tenericutes",0.304248076545948,0,0.388797457492772,0.868018951518535,0.350508564373726,0.725957063887102,1,"kingdom"
"k__unclassified-p__Thaumarchaeota",0.173042331038365,0,3.76337572375171,0.402669025532469,0.429738370885476,0.66738596802889,1,"kingdom"
"k__unclassified-p__Thermotogae",0.709619725650612,0,2.67560184352432,0.708394093834949,1.00173015532784,0.316473938310365,1,"kingdom"
"k__unclassified-p__Verrucomicrobia",0.920727656076072,0,4.95301750420991,0.610250718744936,1.50876947424114,0.131357704203175,1,"kingdom"
"k__unclassified-s__Halovirus HHTV-2",0.0538242875098837,0,0.00785625324729518,3.27649429891405,0.0164274015455247,0.986893419424628,1,"kingdom"
"k__unclassified-s__Leptopilina boulardi filamentous virus",-0.00487915017941484,0,0.00136521497228632,3.27649429891405,-0.00148913739329013,0.998811840704109,1,"kingdom"
"k__unclassified-s__Mollivirus sibericum",-0.216770266656776,0,1.18229435323168,0.440351352368889,-0.49226660822239,0.62253088250167,1,"kingdom"
"p__Acidobacteria",-0.191395267329608,0,0.241498663216974,0.655354975802237,-0.292048240108829,0.770249740613582,1,"phylum"
"p__Actinobacteria",0.124201667550055,0,68.2641521566957,0.250493742065858,0.495827426768214,0.620016172555653,1,"phylum"
"p__Apicomplexa",-0.400578267032988,0,33.4715806847071,0.258697299207393,-1.54844394688424,0.121515447370175,1,"phylum"
"p__Aquificae",-0.0759205723995184,0,0.0473121829650872,2.38295700364168,-0.0318598163053279,0.974583844301909,1,"phylum"
"p__Armatimonadetes",0.153040409612611,0,0.0332739231364084,2.90246220191618,0.052727787294379,0.957948798756736,1,"phylum"
"p__Artverviricota",0.241296759263821,0,0.537552935491425,1.09446390033539,0.220470276991207,0.825504918406834,1,"phylum"
"p__Ascomycota",-0.43039049569517,0,238.415896721268,0.227502979913579,-1.89180157490095,0.058517423397337,1,"phylum"
"p__Bacteroidetes",0.533379988364017,0,575.766707655494,0.352002976207124,1.51527124603108,0.129703726938355,1,"phylum"
"p__Basidiomycota",-0.0667461856955527,0,11.9298559157221,0.283409599581196,-0.235511379269389,0.8138118478333,1,"phylum"
"p__Candidatus",0.222309096786206,0,0.123444072754813,1.05777683567394,0.210166350111615,0.833537841743678,1,"phylum"
"p__Chlamydiae",-0.280924058964459,0,0.333656009513586,0.477999501497023,-0.587707849243874,0.556728406110942,1,"phylum"
"p__Chlorobi",-0.110440432575046,0,0.130238543032381,1.43380993680481,-0.0770258524091126,0.938602978810381,1,"phylum"
"p__Chloroflexi",0.536355960083954,0,11.7326263278657,0.492487198061659,1.08907594389246,0.276120397200974,1,"phylum"
"p__Chordata",5.92628646291992e-15,0,316549437.220931,1.77065784660651e-05,3.34694050252437e-10,0.999999999732953,1,"phylum"
"p__Chrysiogenetes",0.0364948033933309,0,0.00414246965235482,3.27649429891405,0.0111383692641939,0.991113050889286,1,"phylum"
"p__Coprothermobacterota",0.105812739859542,0,0.0172805117154062,3.27649429891405,0.0322944983895171,0.974237196567245,1,"phylum"
"p__Cossaviricota",0.307582286023291,0,0.108481945559377,0.956117558276879,0.321699233907614,0.747680558276984,1,"phylum"
"p__Crenarchaeota",0.0810786557202708,0,0.346136950189544,0.397683269358869,0.203877462210022,0.838449257718436,1,"phylum"
"p__Cyanobacteria",0.648724259643191,0,2.51848890716966,0.362765504336954,1.78827438631162,0.0737317501726298,1,"phylum"
"p__Deferribacteres",0.06248902956816,0,0.0121023336753078,3.27649429891405,0.0190719176861901,0.984783733794696,1,"phylum"
"p__Deinococcus",1.13193398035188,0,0.481095366563861,0.661982136689695,1.70991620108093,0.0872813701092274,1,"phylum"
"p__Elusimicrobia",0.0278300613350545,0,0.00195625638263128,3.27649429891405,0.00849385312352853,0.99322296721989,1,"phylum"
"p__Euryarchaeota",-0.237188685410349,0,1.25638931514209,0.568798926200922,-0.416999179296209,0.676679008012965,1,"phylum"
"p__Fibrobacteres",0.0817682704033487,0,0.0197014789227259,3.27649429891405,0.0249560240133638,0.980090040426365,1,"phylum"
"p__Firmicutes",-0.720623714282157,0,353.24232108548,0.314088922570136,-2.29433024375841,0.0217715366282848,1,"phylum"
"p__Fusobacteria",-0.174741904253399,0,757.127300736757,0.577978949662291,-0.302332644390422,0.762398495358644,1,"phylum"
"p__Gemmatimonadetes",-0.274990276829431,0,0.0661796209925897,1.82497034186206,-0.150682052481386,0.880226531613798,1,"phylum"
"p__Ignavibacteriae",0.211749875026762,0,0.0577422653965887,2.34496380976607,0.090299847760928,0.928048941127606,1,"phylum"
"p__Kitrinoviricota",-0.122061559716985,0,0.0506560571673472,2.56206764543576,-0.0476418177070516,0.962001704139444,1,"phylum"
"p__Microsporidia",-0.0048791501794148,0,0.00179425695381793,3.27649429891405,-0.00148913739329012,0.998811840704109,1,"phylum"
"p__Negarnaviricota",-0.0490600787138366,0,0.0204594369723061,2.37553272500402,-0.0206522428411309,0.983523065576419,1,"phylum"
"p__Nitrospirae",0.0163498473744099,0,0.0173283774906539,3.27649429891405,0.0049900429797265,0.996018538272157,1,"phylum"
"p__Nucleocytoviricota",0.06248902956816,0,0.00944330251599214,3.27649429891405,0.0190719176861901,0.984783733794696,1,"phylum"
"p__Peploviricota",0.5161338699039,0,0.110764049691174,1.33618577630262,0.386274033938681,0.699293728938951,1,"phylum"
"p__Pisuviricota",0.0538242875098836,0,0.00769756049098629,3.27649429891405,0.0164274015455247,0.986893419424628,1,"phylum"
"p__Planctomycetes",-0.0942944264432833,0,1.731680104447,0.277303625520799,-0.340040366461819,0.733826129190625,1,"phylum"
"p__Preplasmiviricota",0.102147293241812,0,0.0682861321935783,1.38364652969319,0.0738247023713941,0.941149871004794,1,"phylum"
