"","RNAseq","samp16s","distance","pt.id.rna","pt.id.16s","specimen.type","paired"
"55","SL242349","30163",0.659574468085106,"P112381955","P112387186","Normal","FALSE"
"56","SL242349","30165",0.67741935483871,"P112381955","P112418624","Tumor","FALSE"
"57","SL242349","30167",1,"P112381955","P112418624","Normal","FALSE"
"58","SL242349","30169",0.904761904761905,"P112381955","P112409746","Tumor","FALSE"
"59","SL242349","30171",0.733333333333333,"P112381955","P112409746","Normal","FALSE"
"60","SL242349","30173",0.92,"P112381955",NA,NA,"CONTROL"
"61","SL242349","30295",0.789473684210526,"P112381955","P112374066","Normal","FALSE"
"62","SL242349","30297",0.636363636363636,"P112381955","P112390908","Normal","FALSE"
"63","SL242349","30299",0.621621621621622,"P112381955","P112398333","Tumor","FALSE"
"64","SL242349","30301",0.91304347826087,"P112381955","P112398333","Normal","FALSE"
"65","SL242349","30303",0.846153846153846,"P112381955","P112404922","Tumor","FALSE"
"66","SL242349","30305",0.608695652173913,"P112381955","P112408270","Normal","FALSE"
"67","SL242349","30307",1,"P112381955",NA,NA,"CONTROL"
"68","SL242349","30820",0.7,"P112381955","P112374066","Tumor","FALSE"
"69","SL242349","30822",0.673469387755102,"P112381955","P112404267","Normal","FALSE"
"70","SL242349","30824",0.904761904761905,"P112381955","P112416452","Normal","FALSE"
"71","SL242349","30935",0.692307692307692,"P112381955","P112382873","Tumor","FALSE"
"72","SL242349","30937",0.581395348837209,"P112381955","P112390908","Tumor","FALSE"
"73","SL242349","30939",0.686274509803922,"P112381955","P112397962","Normal","FALSE"
"74","SL242349","30941",0.75,"P112381955","P112404922","Normal","FALSE"
"75","SL242349","30943",0.567567567567568,"P112381955","P112406974","Tumor","FALSE"
"76","SL242349","30945",0.555555555555556,"P112381955","P112406974","Normal","FALSE"
"77","SL242349","30947",0.777777777777778,"P112381955","P112416452","Tumor","FALSE"
"78","SL242349","31531",1,"P112381955",NA,NA,"CONTROL"
"79","SL242349","31537",0.625,"P112381955","P112364086","Tumor","FALSE"
"80","SL242349","31539",0.688888888888889,"P112381955","P112364086","Normal","FALSE"
"81","SL242349","31541",0.655172413793103,"P112381955","P112375831","Normal","FALSE"
"82","SL242349","31543",0.653846153846154,"P112381955","P112380828","Tumor","FALSE"
"83","SL242349","31545",0.625,"P112381955","P112380828","Normal","FALSE"
"84","SL242349","31667",0.65,"P112381955","P112362735","Normal","FALSE"
"85","SL242349","31669",0.588235294117647,"P112381955","P112375831","Tumor","FALSE"
"86","SL242349","31671",0.588235294117647,"P112381955","P112380750","Normal","FALSE"
"87","SL242349","31673",0.702127659574468,"P112381955","P112380503","Tumor","FALSE"
"88","SL242349","31675",0.782608695652174,"P112381955","P112380503","Normal","FALSE"
"89","SL242349","31677",0.625,"P112381955","P112377885","Tumor","FALSE"
"90","SL242349","31679",0.375,"P112381955","P112381955","Tumor","TRUE"
"91","SL242349","31683",0.909090909090909,"P112381955",NA,NA,"CONTROL"
"92","SL242349","32111",0.904761904761905,"P112381955",NA,NA,"CONTROL"
"93","SL242349","32115",0.688888888888889,"P112381955","P112381968","Tumor","FALSE"
"94","SL242349","32117",0.675675675675676,"P112381955","P112381987","Normal","FALSE"
"95","SL242349","32376",0.686274509803922,"P112381955","P112377885","Normal","FALSE"
"96","SL242349","32388",0.641025641025641,"P112381955",NA,NA,"CONTROL"
"97","SL242349","32513",0.515151515151515,"P112381955","P112378162","Normal","FALSE"
"98","SL242349","32515",0.578947368421053,"P112381955","P112382412","Tumor","FALSE"
"99","SL242349","32517",0.833333333333333,"P112381955","P112381968","Normal","FALSE"
"100","SL242349","32527",0.75,"P112381955",NA,NA,"CONTROL"
"101","SL242349","32766",0.548387096774194,"P112381955","P112380750","Tumor","FALSE"
"102","SL242349","32768",0.3125,"P112381955","P112381955","Normal","TRUE"
"103","SL242349","32778",0.696969696969697,"P112381955",NA,NA,"CONTROL"
"104","SL242349","33086",0.625,"P112381955","P112378162","Tumor","FALSE"
"105","SL242349","33088",0.724137931034483,"P112381955","P112381987","Tumor","FALSE"
"106","SL242349","33090",0.686274509803922,"P112381955","P112382873","Normal","FALSE"
"107","SL242361","30161",0.9375,"P112362735","P112387186","Tumor","FALSE"
"108","SL242361","30163",0.939393939393939,"P112362735","P112387186","Normal","FALSE"
"109","SL242361","30165",0.882352941176471,"P112362735","P112418624","Tumor","FALSE"
"110","SL242361","30167",1,"P112362735","P112418624","Normal","FALSE"
"111","SL242361","30169",1,"P112362735","P112409746","Tumor","FALSE"
"112","SL242361","30171",1,"P112362735","P112409746","Normal","FALSE"
"113","SL242361","30173",1,"P112362735",NA,NA,"CONTROL"
"114","SL242361","30295",0.916666666666667,"P112362735","P112374066","Normal","FALSE"
"115","SL242361","30297",0.902439024390244,"P112362735","P112390908","Normal","FALSE"
"116","SL242361","30299",1,"P112362735","P112398333","Tumor","FALSE"
"117","SL242361","30301",1,"P112362735","P112398333","Normal","FALSE"
"118","SL242361","30303",1,"P112362735","P112404922","Tumor","FALSE"
"119","SL242361","30305",0.9375,"P112362735","P112408270","Normal","FALSE"
"120","SL242361","30307",1,"P112362735",NA,NA,"CONTROL"
"121","SL242361","30820",0.923076923076923,"P112362735","P112374066","Tumor","FALSE"
"122","SL242361","30822",0.942857142857143,"P112362735","P112404267","Normal","FALSE"
"123","SL242361","30824",1,"P112362735","P112416452","Normal","FALSE"
"124","SL242361","30935",1,"P112362735","P112382873","Tumor","FALSE"
"125","SL242361","30937",0.931034482758621,"P112362735","P112390908","Tumor","FALSE"
"126","SL242361","30939",1,"P112362735","P112397962","Normal","FALSE"
"127","SL242361","30941",1,"P112362735","P112404922","Normal","FALSE"
"128","SL242361","30943",0.91304347826087,"P112362735","P112406974","Tumor","FALSE"
"129","SL242361","30945",0.818181818181818,"P112362735","P112406974","Normal","FALSE"
"130","SL242361","30947",0.909090909090909,"P112362735","P112416452","Tumor","FALSE"
"131","SL242361","31531",1,"P112362735",NA,NA,"CONTROL"
"132","SL242361","31537",1,"P112362735","P112364086","Tumor","FALSE"
"133","SL242361","31539",1,"P112362735","P112364086","Normal","FALSE"
"134","SL242361","31541",0.866666666666667,"P112362735","P112375831","Normal","FALSE"
"135","SL242361","31543",0.947368421052632,"P112362735","P112380828","Tumor","FALSE"
"136","SL242361","31545",0.941176470588235,"P112362735","P112380828","Normal","FALSE"
"137","SL242361","31667",0.923076923076923,"P112362735","P112362735","Normal","TRUE"
"138","SL242361","31669",0.9,"P112362735","P112375831","Tumor","FALSE"
"139","SL242361","31671",1,"P112362735","P112380750","Normal","FALSE"
"140","SL242361","31673",0.939393939393939,"P112362735","P112380503","Tumor","FALSE"
"141","SL242361","31675",1,"P112362735","P112380503","Normal","FALSE"
"142","SL242361","31677",0.941176470588235,"P112362735","P112377885","Tumor","FALSE"
"143","SL242361","31679",0.888888888888889,"P112362735","P112381955","Tumor","FALSE"
"144","SL242361","31683",1,"P112362735",NA,NA,"CONTROL"
"145","SL242361","32111",1,"P112362735",NA,NA,"CONTROL"
"146","SL242361","32115",0.935483870967742,"P112362735","P112381968","Tumor","FALSE"
"147","SL242361","32117",1,"P112362735","P112381987","Normal","FALSE"
"148","SL242361","32376",0.945945945945946,"P112362735","P112377885","Normal","FALSE"
"149","SL242361","32388",0.92,"P112362735",NA,NA,"CONTROL"
"150","SL242361","32513",0.894736842105263,"P112362735","P112378162","Normal","FALSE"
"151","SL242361","32515",0.916666666666667,"P112362735","P112382412","Tumor","FALSE"
"152","SL242361","32517",1,"P112362735","P112381968","Normal","FALSE"
"153","SL242361","32527",1,"P112362735",NA,NA,"CONTROL"
"154","SL242361","32766",1,"P112362735","P112380750","Tumor","FALSE"
"155","SL242361","32768",0.888888888888889,"P112362735","P112381955","Normal","FALSE"
"156","SL242361","32778",0.894736842105263,"P112362735",NA,NA,"CONTROL"
"157","SL242361","33086",0.888888888888889,"P112362735","P112378162","Tumor","FALSE"
"158","SL242361","33088",0.954545454545455,"P112362735","P112381987","Tumor","FALSE"
"159","SL242361","33090",1,"P112362735","P112382873","Normal","FALSE"
"160","SL242376","30161",1,"P112374302","P112387186","Tumor","FALSE"
"161","SL242376","30163",1,"P112374302","P112387186","Normal","FALSE"
"162","SL242376","30165",1,"P112374302","P112418624","Tumor","FALSE"
"163","SL242376","30167",1,"P112374302","P112418624","Normal","FALSE"
"164","SL242376","30169",1,"P112374302","P112409746","Tumor","FALSE"
"165","SL242376","30171",1,"P112374302","P112409746","Normal","FALSE"
"166","SL242376","30173",1,"P112374302",NA,NA,"CONTROL"
"167","SL242376","30295",1,"P112374302","P112374066","Normal","FALSE"
"168","SL242376","30297",1,"P112374302","P112390908","Normal","FALSE"
"169","SL242376","30299",1,"P112374302","P112398333","Tumor","FALSE"
"170","SL242376","30301",1,"P112374302","P112398333","Normal","FALSE"
"171","SL242376","30303",1,"P112374302","P112404922","Tumor","FALSE"
"172","SL242376","30305",1,"P112374302","P112408270","Normal","FALSE"
"173","SL242376","30307",1,"P112374302",NA,NA,"CONTROL"
"174","SL242376","30820",1,"P112374302","P112374066","Tumor","FALSE"
