"term","estimate","std.error","statistic","p.value","microbe","padj"
"eo.stat",-0.997689124046175,0.281328184554764,-3.54635325865107,0.00139714246257589,"s__Parabacteroides distasonis",0.458209793032078
"eo.stat",-0.980339644912859,0.356340197501844,-2.75113403367238,0.010294623443219,"s__Oscillibacter sp. MM35",0.458209793032078
"eo.stat",-0.994777675958207,0.380515960518433,-2.61428633532973,0.0142324888348851,"g__Schaalia",0.458209793032078
"eo.stat",-0.994777675958207,0.380515960518433,-2.61428633532973,0.0142324888348851,"s__Schaalia turicensis",0.458209793032078
"eo.stat",-0.949443667343307,0.371261270206623,-2.55734638524212,0.0162517784026048,"s__Corynebacterium urealyticum",0.458209793032078
"eo.stat",-0.628533609451735,0.266156180462596,-2.36152175147428,0.0253907986346692,"f__Christensenellaceae",0.458209793032078
"eo.stat",-0.628533609451735,0.266156180462596,-2.36152175147428,0.0253907986346692,"g__Christensenella",0.458209793032078
"eo.stat",-0.628533609451735,0.266156180462596,-2.36152175147428,0.0253907986346692,"s__Christensenella sp. Marseille-P3954",0.458209793032078
"eo.stat",-0.00748164175758429,0.00362865879620125,-2.06182013183952,0.0486167950290766,"g__Dialister",0.458209793032078
"eo.stat",-0.00748164175758429,0.00362865879620125,-2.06182013183952,0.0486167950290766,"s__Dialister pneumosintes",0.458209793032078
"eo.stat",-0.0200940579096504,0.00975322887240237,-2.06024673188059,0.0487772788129236,"c__Actinomycetia",0.458209793032078
"eo.stat",-0.986363815483153,0.514809747083841,-1.91597735099315,0.0656295567105203,"s__Peptoniphilus ivorii",0.458209793032078
"eo.stat",-0.985393910331695,0.514822853485439,-1.91404461488143,0.0658861078531452,"s__Treponema socranskii",0.458209793032078
"eo.stat",-0.00172745843430391,0.000904740963387,-1.90934035730733,0.0665141937588699,"k__unclassified-p__Actinobacteria",0.458209793032078
"eo.stat",-0.00172745843430391,0.000904740963387,-1.90934035730733,0.0665141937588699,"p__Actinobacteria",0.458209793032078
"eo.stat",-0.993300188245794,0.558498008450616,-1.77852055551891,0.086179721151051,"g__Finegoldia",0.458209793032078
"eo.stat",-0.993300188245794,0.558498008450616,-1.77852055551891,0.086179721151051,"s__Finegoldia magna",0.458209793032078
"eo.stat",-0.995813774339516,0.56125132468377,-1.77427425209302,0.0868935517021699,"s__Prevotella denticola",0.458209793032078
"eo.stat",-0.999733049979281,0.571106060462167,-1.75052082124684,0.0909800511480586,"g__Fastidiosipila",0.458209793032078
"eo.stat",-0.999733049979281,0.571106060462167,-1.75052082124684,0.0909800511480586,"s__Fastidiosipila sanguinis",0.458209793032078
"eo.stat",-0.997892057991637,0.570884372577794,-1.7479757827066,0.0914274086104832,"s__Akkermansia glycaniphila",0.458209793032078
"eo.stat",-0.99920174160942,0.572041280033541,-1.7467301337953,0.0916470426250574,"s__Fusobacterium mortiferum",0.458209793032078
"eo.stat",-0.999029733229259,0.57194285149941,-1.7467299934079,0.0916470674034651,"s__Prevotella sp. oral taxon 299",0.458209793032078
"eo.stat",-0.998191487801575,0.571463500424004,-1.74672833358728,0.0916473603626116,"g__Peptacetobacter",0.458209793032078
"eo.stat",-0.998191487801575,0.571463500424004,-1.74672833358728,0.0916473603626116,"s__Peptacetobacter hiranonis",0.458209793032078
"eo.stat",-0.980525066921345,0.561481677050533,-1.74631712306633,0.0917199636657798,"s__Limosilactobacillus mucosae",0.458209793032078
"eo.stat",-0.957057812880622,0.548562675597284,-1.74466447582961,0.0920122464776836,"s__Dysosmobacter welbionis",0.458209793032078
"eo.stat",-0.949999018341928,0.544748551188682,-1.74392206508665,0.0921438037932056,"o__Pseudomonadales",0.458209793032078
"eo.stat",-0.949999018341928,0.544748551188682,-1.74392206508665,0.0921438037932056,"f__Moraxellaceae",0.458209793032078
"eo.stat",-0.949999018341928,0.544748551188682,-1.74392206508665,0.0921438037932056,"g__Moraxella",0.458209793032078
"eo.stat",-0.949999018341928,0.544748551188682,-1.74392206508665,0.0921438037932056,"s__Moraxella osloensis",0.458209793032078
"eo.stat",-0.930868265774226,0.53456845517478,-1.74134529780638,0.0926016506008073,"g__Faecalitalea",0.458209793032078
"eo.stat",-0.930868265774226,0.53456845517478,-1.74134529780638,0.0926016506008073,"s__Faecalitalea cylindroides",0.458209793032078
"eo.stat",-0.921836597003802,0.529838436684077,-1.7398447020435,0.0928691664604422,"g__Coprobacter",0.458209793032078
"eo.stat",-0.921836597003802,0.529838436684077,-1.7398447020435,0.0928691664604422,"s__Coprobacter secundus",0.458209793032078
"eo.stat",-0.9173797595472,0.527521490815263,-1.73903769897493,0.0930133035916537,"o__Sphingomonadales",0.458209793032078
"eo.stat",-0.9173797595472,0.527521490815263,-1.73903769897493,0.0930133035916537,"f__Sphingomonadaceae",0.458209793032078
"eo.stat",-0.9173797595472,0.527521490815263,-1.73903769897493,0.0930133035916537,"g__Sphingomonas",0.458209793032078
"eo.stat",-0.9173797595472,0.527521490815263,-1.73903769897493,0.0930133035916537,"s__Sphingomonas lutea",0.458209793032078
"eo.stat",-0.86050373888894,0.498848442067915,-1.72498030728898,0.0955545747171284,"o__Propionibacteriales",0.458209793032078
"eo.stat",-0.86050373888894,0.498848442067915,-1.72498030728898,0.0955545747171284,"f__Nocardioidaceae",0.458209793032078
"eo.stat",-0.86050373888894,0.498848442067915,-1.72498030728898,0.0955545747171284,"g__Nocardioides",0.458209793032078
"eo.stat",-0.86050373888894,0.498848442067915,-1.72498030728898,0.0955545747171284,"s__Nocardioides anomalus",0.458209793032078
