"Taxa","log2FoldChange","y.axis","baseMean","lfcSE","stat","pvalue","padj","Taxa.Level"
"g__Bacillus",3.07934665633568,14.387621446576,32.3181996566483,0.484705691872274,6.3530235109084,2.11123433054148e-10,5.64332936553738e-07,"genus"
"o__Fusobacteriales",3.13067979511041,12.132999894492,116.405460397775,0.532141289511036,5.88317399310824,4.02472428086361e-09,5.37904400137421e-06,"order"
"c__Fusobacteriia",2.71589009455909,9.66123081021192,82.4159774822926,0.509031874333587,5.33540281365421,9.53326802606445e-08,6.37060635841757e-05,"class"
"g__Streptococcus",1.8768436740995,9.66123081021192,66.4122790362645,0.351323687229279,5.34220646749233,9.1821983404481e-08,6.37060635841757e-05,"genus"
"o__Eubacteriales",1.74073081535323,9.11661560128397,143.886450477053,0.335119989972954,5.19435088158637,2.05435359461937e-07,0.000109825743168351,"order"
"f__Leptotrichiaceae",3.1003480872054,7.11976679892558,9.94602355101734,0.64957198594068,4.77290916835895,1.81583698853562e-06,0.000808955378392619,"family"
"o__Campylobacterales",2.24621212796741,7.00870057706998,5.88774892762762,0.478732727521857,4.69199617831613,2.7055218289672e-06,0.000903982481103666,"order"
"g__Leptotrichia",3.15289947150115,7.00870057706998,9.89352689705618,0.669771579879878,4.70742498818271,2.50865547328218e-06,0.000903982481103666,"genus"
"c__Erysipelotrichia",2.69041787778221,6.62058884062217,5.35777301531344,0.586474070490126,4.58744557203319,4.48702356374678e-06,0.00133264599843279,"class"
"c__Cryptophyceae",2.21687834642672,5.85038835205209,15.5823879963406,0.514887797078563,4.30555619885561,1.66566696011345e-05,0.00287878096048162,"class"
"f__Actinomycetaceae",1.95614856721286,5.85038835205209,11.9692172802895,0.453879932275051,4.30983709151397,1.63374852080996e-05,0.00287878096048162,"family"
"f__Bacteroidaceae",1.9718187103704,5.85038835205209,143.776979575819,0.450494388042905,4.37701059703901,1.2031812674781e-05,0.00287878096048162,"family"
"f__Fusobacteriaceae",2.72534467765182,5.85038835205209,133.895244933588,0.628652864972806,4.33521396227107,1.45618413830973e-05,0.00287878096048162,"family"
"f__Geminigeraceae",2.62226498069063,5.85038835205209,15.3542534092093,0.610107623005382,4.2980367427199,1.7231760332101e-05,0.00287878096048162,"family"
"f__Streptococcaceae",1.4500576292891,5.85038835205209,77.6639822391508,0.332300987335586,4.36368739351566,1.27888291683485e-05,0.00287878096048162,"family"
"g__Fusobacterium",2.72876699857171,5.85038835205209,134.061888070293,0.632326475495372,4.31544005244121,1.59285275218477e-05,0.00287878096048162,"genus"
"c__Epsilonproteobacteria",1.97985381040456,5.84585508147094,5.83001507197254,0.462621291873058,4.27964264763636,1.87193629669393e-05,0.00289186087852323,"class"
"g__Guillardia",2.62378581538551,5.84585508147094,15.3498651116837,0.61434889366155,4.27083997783021,1.94738106297861e-05,0.00289186087852323,"genus"
